,annotations,candidates_holder,tweet_text,tweetid
583,['eddie alvarez'],['eddie alvarez'],"Let's run it back"" Eddie Alvarez on no contest vs @DustinPoirier ",3016
584,['maryland'],['maryland'],"Good, at least I'll only have to work to get one representative thrown out next year. Only one from Maryland? ",950
585,['camila'],[],Camila and @machinegunkelly during their performance on  (@MarcusRFrancis on Instagram story)… ,1973
586,['apocalypse'],[],The four horsemen of the apocalypse. ,1165
587,['usa'],['usa'],"And tell the Senate to . If your Rep voted against it, thank them. If your Rep voted for , call them on it. Again, USA: ",756
588,[],[],@aaroncarter is back 🙌🏼🙌🏼🙌🏼 ,1877
589,['paul ryan'],['paul ryan'],"Thanks for taking away healthcare from millions Paul Ryan, you smug son of a bitch ",958
590,['liam'],['liam'],📸 | Liam at  tonight -5 ,1909
591,"['risacea', 'asthma', 'ibs', 'ncah']",[],NCAH. IBS. Rosacea. Asthma. Depression. Anxiety. Disabled from being the meat in 3-car sandwich. Female. ,736
592,[],[],@GamebredFighter wins the battle of walk out music. ,2659
593,"['liam payne', 'jordan fisher', 'wango tango', 'sofia carson']","['liam payne', 'jordan fisher', 'wango tango', 'sofia carson']","Liam Payne, Sofia Carson and Jordan Fisher Attend Wango Tango! ",1905
594,['maroon 5'],[],YES PLEASE MORE MAROON 5 ❤ ,1971
595,[],[],We know for the Whites...Thanks in advance. Can someone name the number of genocides committed by Blacks? ,2172
596,['republicans'],['billionaires'],Check your wallet to see which one you are. Billionaires and Suckers. There are two kinds of republicans; ,2236
597,[],[],nothing to see here move along pay no attention to the man behind the curtain ,112
598,[],[],This is my main event ,2775
599,['dm'],[],U have a secret here is a place to share it no judgements or DM is cool too ,2770
600,[],[],Dentist : pretty fuck… Teeth: *colonize half the world* Her : how white they are ? Dentist : ur teeth are so white ,2182
601,[],[],"like @billclinton had kids named  and didnt own up to him, yet many  voted for his wife. ",2558
602,[],[],@julesk_fighter loving this @demianmaia walkout music ,2605
603,[],[],lets hope this is proven wrong. ,2825
604,['prince'],"['prince', 'yaaaay maroon']",😭😭 Yaaaay Maroon 5 with the Prince cover!!!! ,1637
605,"['yodeling', 'thatcher', 'antisemitism', 'blair', 'theresa may', 'hitler', 'imperialism', 'mussolini']","['thatcher', 'antisemitism', 'blair', 'theresa may', 'hitler', 'imperialism', 'mussolini', 'europe']","Yodeling might be worst thing Europe created after Hitler, Mussolini, Imperialism, Antisemitism, Thatcher, Blair &amp; Theresa May ",1061
606,[],[],📆 Tonight! 🏆 Heavyweight Champ 🇭🇷🇺🇸 @stipemiocicufc ,2751
607,"['carter page', 'russia', 'obama']","['carter page', 'russia', 'obama']",@OcAugust @washingtonpost @Circa Carter Page was approached by Russia but told them to kiss off and Obama admin used that to smear him ,505
608,"['fairytale', 'alexander rybak']",['alexander rybak'],"Fairytale by Alexander Rybak. Check our the best ever  winner. Ah, this is boring. ",1462
609,[],[],it's quase time ,2646
610,[],[],Great fights  has been great. ,3060
611,[],['god'],God won't let you get away with hurting so many people over healthcare @SenateMajLdr @SpeakerRyan @HouseGOP @SenateGOP @POTUS Fuck you all. ,804
612,['carter page'],['carter page comrade'],@mitchellvii What about Carter Page comrade? ,392
