,annotations,candidates_holder,tweet_text,tweetid,tpstanford_candidates,fnstanford_candidates,fpstanford_candidates
1586,['chipmunk'],[],"Chipmunk Stretches in the Morning ,,, ",1586,0,1,0
1587,['niall cantando'],[],"Niall Cantando, Slow Hands ",1587,0,1,0
1588,[],[],@CCabelloNews @Camila_Cabello on the  yellow carpet | ,1588,0,0,0
1589,[],[],(Via @wydnialll) -P @LiamPayne tonight at ! ,1589,0,0,0
1590,[],[],You killed tonight at So fucking PROUD of this amazing women!! ,1590,0,0,0
1591,[],[],Discover the 🌎 inside your 📱 July 28! 👋 ! ,1591,0,0,0
1592,['niall'],['niall'],Niall at ,1592,1,0,0
1593,['halsey'],['halsey'],Halsey arriving at ,1593,1,0,0
1594,['niall'],[],Niall en el backstage del ,1594,0,1,0
1595,[],[],she might be a lil crazy but damn she talented ,1595,0,0,0
1596,['niall'],['niall'],Niall backstage at ,1596,1,0,0
1597,[],[],TREND IT ⬇️ TWEET IT. ,1597,0,0,0
1598,"['nialler', 'payne', 'horan', 'payno', 'niall horan', 'liam payne']","['niall horan', 'liam payne', 'horan', 'payne']",Nialler and Payne chain 😂😍 Horan and Payno 😍 Niall Horan and Liam Payne 😍 @NiallOfficial  Together ,1598,4,2,0
1599,[],['sleepy lion cubs'],"These Sleepy Lion Cubs are Cuter than Kittens ,,, ",1599,0,0,1
1600,['avril lavigne'],"['avril lavigne', 'avril rocking…']",Time really flies... Can't wait to see Avril rocking… 4 years ago Avril Lavigne was performing at  2013. ,1600,1,0,1
1601,[],['stubhub center'],Soundcheckin' for tonight's  @1027kiisfm  @ Stubhub Center ,1601,0,0,1
1602,[],['cutie'],CUTIE AT ,1602,0,0,1
1603,['violet'],['carson'],"Hey Violet performant Guys My Age au , Carson (13/05) | realpatrickjones ",1603,0,1,1
1604,"['niall', 'carson', 'ca']","['niall', 'kiis fm']","(May 13) 🎥 Niall at the 102.7 KIIS FM  in Carson, CA today! ",1604,1,2,1
1605,[],[],@NiallOfficial and @LiamPayne reunite at ! ,1605,0,0,0
1606,['niall'],['niall'],May 13th: Niall being interviewed backstage at ,1606,1,0,0
1607,[],[],We're SO HAPPY that @NiallOfficial is in THIS TOWN 😍😍😍 ,1607,0,0,0
1608,"['camila', 'wango tango']",['camila'],Camila performing onstage at 102.7 KIIS FM'S Wango Tango. ,1608,1,1,0
1609,[],[],🔥🔥🔥 @olivia_holt is READY to hit the  Village! ,1609,0,0,0
1610,[],[],glad for ya @NiallOfficial This is amazing ! ,1610,0,0,0
1611,['zedd'],['zedd'],ZEDD IS NEXT ... WHAT IF LIAM SURPRISES US WITH A COLLAB ,1611,1,0,0
1612,['camila'],['camila'],Camila with @machinegunkelly (via jimmynickles on Instagram) ,1612,1,0,0
1613,[],[],Roar! ,1613,0,0,0
1614,['miley'],['miley'],she probably thought it was Miley ,1614,1,0,0
1615,[],['instagram story'],We'll be posting via Instagram Story (@901Music) all ni… @Camila_Cabello is playing  this evening. Hello. ,1615,0,0,1
1616,['liam'],['liam'],Liam is at ! ,1616,1,0,0
1617,"['oakley', 'oaklettes']",[],",,, ""Oakley"" &amp; The Oaklettes Learn to Move with the Groove! ",1617,0,2,0
1618,"['asha', 'portugal']","['asha', 'portugal']","With just $10, you can help keep girls like Asha in school-  Portugal Check this out! ",1618,2,0,0
1619,['amanda'],['amanda'],"Another 1 for the Books, shout to Amanda she makes our Team Pop! ",1619,1,0,0
1620,[],[],Ahhhh! About to kick off the @noahcyrus meet &amp; greet! ,1620,0,0,0
1621,[],[],Reunited with @sofiacarson at @1027KIISFM  👯 ,1621,0,0,0
1622,[],[],@1027KIISFM So stoked to share this night with you! So proud of you @noahcyrus !!!! ,1622,0,0,0
1623,['niall'],['niall'],I need them so bad 😍😍 😍 and book tix for tour.? @NiallOfficial @1027KIISFM @iHeartRadio Niall when can I preorder the album.?? ,1623,1,0,0
1624,[],[],good ass 😂 ,1624,0,0,0
1625,"['liam', 'niall']","['liam', 'niall']",Liam watching Niall perform at  tonight 13/5/17 ,1625,2,0,0
1626,"['alessia', 'zedd']","['alessia', 'zedd']","It's about time we get to see Alessia and Zedd performing ""STAY"" at  tonight! ",1626,2,0,0
1627,[],[],I'm watching @niallhorran play at  and @Liampayne is standing directly next to me. ,1627,0,0,0
1628,['alessia'],['alessia'],Alessia at  carpet today! ,1628,1,0,0
1629,['miley'],['miley'],Miley singing 'Jolene' on stage tonight at ! ,1629,1,0,0
1630,"['miley', ""we can't stop""]",['miley'],Miley performing 'We Can't Stop' ,1630,1,1,0
1631,[],[],Hi @Jiffpom! Thanks to our friends  and . Our backstage social stop was so much fun! ,1631,0,0,0
1632,"['violet', 'carson']",['carson'],"Hey Violet performant Brand New Moves au , Carson (13/05) | realpatrickjones ",1632,1,1,0
1633,['niall'],['niall'],@NiallOfficial Performing at  today Really proud Niall ,1633,1,0,0
1634,[],[],malibuuuu next to you ,1634,0,0,0
1635,['niall'],['niall'],Niall tonight at ,1635,1,0,0
1636,[],[],@1027KIISFM  is so awesome and so many talented people at there ♥ ,1636,0,0,0
1637,['prince'],['yaaaay maroon'],😭😭 Yaaaay Maroon 5 with the Prince cover!!!! ,1637,0,1,1
1638,[],[],😍😍 @NiallOfficial hits ! ,1638,0,0,0
1639,[],[],Holy fucking SHIT 🔥🔥 ,1639,0,0,0
1640,[],[],❤️❤️loved seeing you guys ,1640,0,0,0
1641,['miley'],['miley'],Miley threw flowers in the crowd💐 ,1641,1,0,0
1642,[],[],So so proud of our Sunshine! What a single. ,1642,0,0,0
1643,['liam'],['liam'],-P Liam at  today! ,1643,1,0,0
1644,['camila'],['camila'],Camila on @ashlee_juno's Instagram story ,1644,1,0,0
1645,"['hailee steinfeld', 'cantando']",['hailee steinfeld'],"Hailee Steinfeld cantando ""Love Myself"" no  - 13 de maio. ",1645,1,1,0
1646,[],[],MY POOR NIAM HEART OMG ,1646,0,0,0
1647,[],[],Our fave @aaroncarter just taught @CassieDiLaura how to Tango at @1027KIISFM ! ,1647,0,0,0
1648,['prince'],['prince'],Finishing up with Prince tribute @maroon5 at ,1648,1,0,0
1649,[],[],@NiallHFrance Best performance? ,1649,0,0,0
1650,['camila'],['camila'],Camila today at ,1650,1,0,0
1651,[],[],Up close and personal with the @backstreetboys @1027KIISFM @extratv  … ,1651,0,0,0
1652,['malibu'],[],"Buy:   🌊 Don't forget to Buy ""Malibu"" by @MileyCyrus which was performed tonight at ",1652,0,1,0
1653,"['adm levine', 'maroon 5', 'prince']",['adam levinemaroon'],ADAM LEVINE/MAROON 5 IS SINGING LET'S GO CRAZY BY PRINCE 💜 ,1653,0,3,1
1654,['niam'],['niam'],NIAM AT THE ,1654,1,0,0
1655,[],[],Live on the Yellow Carpet at  with @alexonthemic and the @backstreetboys ,1655,0,0,0
1656,"['camila', 'instagram']",['camila'],Camila no Instagram story da @Chelsea_Briggs ,1656,1,1,0
1657,[],[],Give us @brian_littrell with a kid any day! ,1657,0,0,0
1658,['liam'],['liam'],| @iHeartRadio Out next Friday! Liam just jumped on stage to talk about his new single ! ,1658,1,0,0
1659,[],[],I really wanted to win.… @camila_cabello @1027KIISFM  Could you sort this post for us camilizer?please say yes! ,1659,0,0,0
1660,[],[],",,, What this toddler did to save his trapped twin brother will shock you! ",1660,0,0,0
1661,[],[],fam photo ,1661,0,0,0
1662,[],[],Check out all of the @backstreetboys Meet and Greet photos from  here:  Numbers 116-131 ,1662,0,0,0
1663,[],[],Goodness knows what a relationship must be. ,1663,0,0,0
1664,"['niall cantando', 'this town']",['niall'],Niall cantando This Town en el ! ,1664,0,2,1
1665,[],[],@LiamPayne from  at @1027KIISFM ,1665,0,0,0
1666,[],[],"@HaileeSteinfeld I love you, you are the most beautiful woman in the world.💓💗😍😍 ",1666,0,0,0
1667,[],[],"(1 day poll, vote and retweet.) Who are you most excited to see perform today at ? ",1667,0,0,0
1668,['aaron'],['aaron'],🙄 I just told my friend that Aaron is gonna be at  &amp; I'd tell… @WK_Stylez @aaroncarter The tweet is gone. ,1668,1,0,0
1669,['camila'],['camila'],Camila on backstage of ,1669,1,0,0
1670,['miley'],['miley'],More pics of Miley backstage ,1670,1,0,0
1671,"['niall cantando', 'slow hands']",[],"Otro video de Niall cantando ""Slow Hands"" 😍😍  (via @chxudry) ",1671,0,2,0
1672,[],[],@MileyCyrus performing ,1672,0,0,0
1673,['i want candy'],[],"AHHH @aaroncarter sang a ""I Want Candy"" remix at the  Village! ",1673,0,1,0
1674,[],[],Kick A$$ performance ladies @HaileeSteinfeld @jamiehauptmann ,1674,0,0,0
1675,[],[],📸  and  at ,1675,0,0,0
1676,[],[],So much talent in one photo 👍🏼😁 @alessiacara @Zedd 🙌🏼 ,1676,0,0,0
1677,"['miley', 'malibu']","['miley', 'malibu']",Miley performing Malibu for the first time ever at  ! ,1677,2,0,0
1678,[],[],SUGAR YES PLEASE ,1678,0,0,0
1679,"['liam viendo', 'niall']",[],-CT♡ LIAM VIENDO A NIALL EN  . ,1679,0,2,0
1680,['miley'],['miley'],"💐😘🌷🌸 ""- Miley so cute! ""You know I had to come bearing gifts! ",1680,1,0,0
1681,[],[],A PERFORMER! ,1681,0,0,0
1682,['niall'],[],😍😍😍 Niall en el !! ,1682,0,1,0
1683,['liam'],['liam'],UPDATE || Liam backstage at ,1683,1,0,0
1684,['miley'],['miley'],Miley with her friends &amp; crew backstage at . ,1684,1,0,0
1685,['camila'],['camila'],Camila on @901Music's Instagram story ,1685,1,0,0
1686,['bon appétit'],['bon appétit'],"Bon Appétit at  was everything, I'm in love 😍 ",1686,1,0,0
1687,['adams'],['adams'],BUT ADAMS HAIR THO 😍 ,1687,1,0,0
1688,[],[],@maroon5 is rocking the  stage!! We can't get over @adamlevine's voice!!!! ,1688,0,0,0
1689,['prince'],[],Beautiful Prince tribute by 😍😲😭 @maroon5 ,1689,0,1,0
1690,[],[],onairwithryan: just over here trying to keep our  to ourselves during niallhoran at ,1690,0,0,0
1691,['camila'],['camila'],Camila with @CassieDiLaura  (via @sweetyhigh) ,1691,1,0,0
1692,['niam'],['niam'],That friendship goals ! My Niam heart 😍❤❤ ,1692,1,0,0
1693,"['liam', 'niall']",['liam'],Liam watching Niall's performance at ,1693,1,1,0
1694,[],['josh'],Noticing some missing band members at tonight's performance.... @katyperry WHERE ARE JOSH AND ADAM!?!? ,1694,0,0,1
1695,['on the loose'],[],On The Loose Love It ,1695,0,1,0
1696,['liam payne'],['liam payne!!!!'],LIAM PAYNE!!! ,1696,0,1,1
1697,[],[],i would love to go a @maroon5 concert! ,1697,0,0,0
1698,[],[],Where you at @harrystyles @Louis_Tomlinson? ,1698,0,0,0
1699,[],['smiley face'],"Adorable Baby Stingrays Dancing with Smiley Face ,,, ",1699,0,0,1
1700,['camila'],['camila'],Camila and @machinegunkelly on stage at . ,1700,1,0,0
1701,['camila'],['camila'],Camila with @TanyaRad on @1027KIISFM's Snapchat story ,1701,1,0,0
1702,['liam'],['liam'],LIAM WAS JUST ON STAGE IM FREAKING OUT ,1702,1,0,0
1703,[],[],If you promise to be gentle I'll let you touch my ,1703,0,0,0
1704,[],[],@adamlevine is fucken hottttttt ,1704,0,0,0
1705,"['miley', 'noah']","['miley', 'noah']",Miley and Noah singing happy birthday to @tishcyrus at  tonight! ,1705,2,0,0
1706,['liam'],['liam'],📸 | Liam no  . ,1706,1,0,0
1707,['maroon 5'],[],I love them so much ❤️❤️❤️ Maroon 5 the best at ,1707,0,1,0
1708,[],[],🤞🏼Watch the live stream here:  👏🏼 @NiallOfficial wants to see YOU at ! ,1708,0,0,0
1709,"['niall', 'red carpet']",['niall'],(7) Niall no Red Carpet do . ,1709,1,1,0
1710,[],[],Thanks @maroon5 and @adamlevine !!! ,1710,0,0,0
1711,['migos'],[],Her dance moves during the Migos part was everything 😍🔥🔥 ,1711,0,1,0
1712,"['liam', 'niam']",['niall'],BXIXUUSH LIAM IS THERE WATCHING NIALL MY WIG FLEW I LOVE NIAM ,1712,0,2,1
1713,[],[],@LiamPayne!! Look who showed up to support his friends and tease his new music coming out NEXT Friday!!! ,1713,0,0,0
1714,"['nial', 'slow hands', 'wango tango']",['niall'],Niall hoy cantando ' Slow Hands ' en Wango Tango . ,1714,0,3,1
1715,"['jolene', 'wcs', 'miley']",['miley'],"Watch performance :… She sang  ,Jolene and WCS! Miley literally SLAYED the  stage! ",1715,1,2,0
1716,[],[],Watch the stream:… @MileyCyrus is JUST as excited as we are to watch her perform  🌊 at ! ,1716,0,0,0
1717,"['camila cabello', 'mgk']",['camila cabello'],Camila Cabello just KILLED IT at  tonight with MGK! ,1717,1,1,0
1718,"['snapchat', 'instagram']",[],Username:… Take a peek on our Snapchat / Instagram! Queen @katyperry SLAAAYED the  stage! ,1718,0,2,0
1719,['camila'],['camila'],Camila with fans backstage at ,1719,1,0,0
1720,['liam'],[],LIAM'OK THE NIGHT IS REALLY INSANE WHUT? ,1720,0,1,0
1721,[],[],!… Hi @Jiffpom! Thanks to our friends  and . Our backstage social stop was so much fun! ,1721,0,0,0
1722,"['adam', 'prince', ""let's go crazy""]",[],"Yes. I knew Adam's purple guitar meant something. @maroon5 with the Prince ""Let's Go Crazy"" cover. ",1722,0,3,0
1723,[],[],We love you @HaileeSteinfeld ✨ She's the cutest! ,1723,0,0,0
1724,[],[],I wish... ,1724,0,0,0
1725,[],[],@Camila_Cabello CC1 is here! ,1725,0,0,0
1726,[],[],always with great perfomances @alessiacara @HaileeSteinfeld @Zedd @NiallOfficial @Jordan_Fisher @noahcyrus @Camila_Cabello ,1726,0,0,0
1727,[],[],@MileyCyrus was also the most interactive with her fans at ,1727,0,0,0
1728,[],[],@maroon5 WE NEED A GUITAR SOLO ON THE NEXT ALBUM ,1728,0,0,0
1729,['niall'],"['niall', 'kiis']","/isa Update  | Niall performing at 102.7 KIIS FM’s 2017  •May 13th, 2017! ",1729,1,0,1
1730,"['louis', 'liam', 'harry', 'niall']","['liam', 'harry']","Today has been a great day.… Selfie from Louis, Liam at , and performances from Harry and Niall. ",1730,2,2,0
1731,"['snapchat', 'instagram']","['snapchat', 'instagram']",📱: @capitolrecords Pretty sure you should tune in to our Snapchat / Instagram right now... ,1731,2,0,0
1732,['camila'],['camila'],RT @CCabelloNews: Camila with @machinegunkelly (via jimmynickles on Instagram) ,1732,1,0,0
1733,[],[],Excuse us.. @NiallOfficial coming through ,1733,0,0,0
1734,['wonder world tour'],[],☺️Anyone else? Her performance gave me such Wonder World Tour vibes! ,1734,0,1,0
1735,"['meu deus', 'niall', 'on the loose']",['niall'],"(via @chxudry) MEU DEUS Niall performando ""On The Loose"" no ",1735,1,2,0
1736,['la'],[],LA you sounded amazing singing  … Thank you @1027kiisfm for the invite. ,1736,0,1,0
1737,['scared to be lonely'],[],"@NiallOfficial covering @DUALIPA / @MartinGarrix's ""Scared To Be Lonely"" ",1737,0,1,0
1738,[],[],i hope so ,1738,0,0,0
1739,['niall'],[],sisanie: Always happy to be the bread on a Niall sandwich 🍞 see you at  niallhoran! ,1739,0,1,0
1740,[],[],Horrifying. Is. This. ,1740,0,0,0
1741,[],[],They are both so hot ,1741,0,0,0
1742,[],[],"Gotta stay cool, right?! @renalovelis from @HeyViolet got off stage and ran straight to the @OtterPops! ",1742,0,0,0
1743,[],[],@MileyCyrus told @officialellenk she has something up her sleeve that's going to involve a lot of balloons tonigh… ,1743,0,0,0
1744,[],[],AHHH! We can't wait for @halsey's new album. ,1744,0,0,0
1745,['niall'],['niall'],We'll go live on Instagram (@901Music) during his performance… One more from Niall on the  yellow carpet! ,1745,1,0,0
1746,[],[],@MileyCyrus NIPPLE THE FREE ,1746,0,0,0
1747,"['niall', 'scared to be lonely']",['niall'],"Niall performando ""Scared To Be Lonely"" (3) ",1747,1,1,0
1748,"['niall cantando', 'slow hands']",['niall'],(2) Niall cantando 'Slow Hands' esta tarde en el ! ,1748,0,2,1
1749,['camila'],['camila'],Camila on @iHeartRadio snapchat. ,1749,1,0,0
1750,[],[],ONE DREAM ONE BAND ONE DIRECTION ,1750,0,0,0
1751,[],[],I LOVE MY SONS SUPPORTING EACH OTHER ,1751,0,0,0
1752,['niall'],['niall'],:) 1D forever. Supportive brother. @LiamPayne I love that you went to see Niall at . ,1752,1,0,0
1753,['cat'],[],",,, Cat watching a horror movie will be the cutest thing you will see today! ",1753,0,1,0
1754,[],[],Meet &amp; greet photos of @backstreetboys from . ,1754,0,0,0
1755,[],[],my  1d ship stays winning ,1755,0,0,0
1756,[],[],Baby is so cute 💓 ,1756,0,0,0
1757,[],[],I'm so upset ,1757,0,0,0
1758,[],['instagram'],@1027KIISFM's post on Instagram ,1758,0,0,1
1759,[],[],1 more week till we have a full set of singles from the boys! Bout had a heart attack when the said @LiamPayne was here at . ,1759,0,0,0
1760,"[""let's go crazy""]",[],"doing a great cover of  ""Let's Go Crazy"" at ",1760,0,1,0
1761,['alessia cara'],['alessia cara'],Alessia Cara on the  yellow carpet just now 👋🏽 | @iHeartRadio ,1761,1,0,0
1762,[],[],HAPPY BIRTHDAY MT… @noahcyrus &amp; @MileyCyrus surprised mommy @tishcyrus with a birthday cake at  tonight! ,1762,0,0,0
1763,['malibu'],[],"@1027KIISFM @MileyCyrus performing ""Malibu"" live for the first time at  is EVERYTHING! ",1763,0,1,0
1764,"['dolly parton', 'christ']",['dolly parton'],As Dolly Parton dies a little bit more..... Christ. ,1764,1,1,0
1765,['liam'],['liam'],📸 | Liam at  tonight -11 ,1765,1,0,0
1766,[],[],When @NiallOfficial brings out  💃🏻 ,1766,0,0,0
1767,"['liam', 'niall']",[],OH MY FUCKING GOD LIAM JUST WATCHED NIALL'S PERFORMANCE CAN YOU HEAR ME SCREAM ,1767,0,2,0
1768,['alessia'],['alessia'],Alessia backstage at ! ,1768,1,0,0
1769,['camila'],['camila'],Camila on @1027KIISFM's yellow carpet. ,1769,1,0,0
1770,['camila'],['camila'],Camila on 's red carpet. ,1770,1,0,0
1771,[],[],"""IT AINT MY FAULT"" 😩😂 When the sound cuts out right at the top of your set and your just like ",1771,0,0,0
1772,['liam'],['liam'],Liam en el backstage de ,1772,1,0,0
1773,[],[],Just a quick pep talk from @katyperry before @noahcyrus hits the  stage 👭❤️ ,1773,0,0,0
1774,[],[],@HaileeSteinfeld is seriously goals....and killing the outfit game ,1774,0,0,0
1775,"['miley', 'cantando']",[],miley cantando y bailando we can't stop MY 2013 FEELS ,1775,0,2,0
1776,['niall'],['niall'],(3) Niall con fans en el ! ,1776,1,0,0
1777,[],[],HONESTLY SAVED ME ,1777,0,0,0
1778,"['june', 'stella', 'geli', 'instagram']",[],And adorable lil June 💕 Stella! Geli's Instagram. ,1778,0,4,0
1779,['zayn'],['zayn'],"In honour of  being today, here's a throwback to Zayn performing at last year's Wango Tango! ",1779,1,0,0
1780,"['maroon 5', 'prince']",[],Maroon 5 covering Prince...what else could you want in life? ,1780,0,2,0
1781,"['niall', 'henley', 'slow hands']",['niall'],I'VE DIED AND GONE TO HEAVEN (minus that fucking hat) NIALL IN A FUCKING HENLEY SINGING SLOW HANDS.. ,1781,1,2,0
1782,[],['miley'],Miley singing 'We Cant Stop' at . ,1782,0,0,1
1783,['we cant stop'],[],is trending worldwide. ,1783,0,1,0
1784,[],['liam'],(via @wydnialll) Liam at  tonight. ,1784,0,0,1
1785,['liam'],['camila'],Camila with @tanyarad on @1027KIISFM's Snapchat story ,1785,0,1,1
1786,['camila'],"['joevin jones', 'bryce harper']",", Joevin Jones ,  ,  , Bryce Harper ,  ,  , ",1786,0,1,2
1787,"['joevin jones', 'bryce harper']",[],Yes they were everything except good ,1787,0,2,0
1788,['camila'],['camila'],Camila on @ashlee_juno's Instagram story. ,1788,1,0,0
1789,['camila'],['camila'],Camila no yellow Carpet do ,1789,1,0,0
1790,[],[],Our first  Village artist @HeyViolet has hit the stage! ,1790,0,0,0
1791,[],[],i'm so proud of her ,1791,0,0,0
1792,"['mercedes', 'las vegas']",[],"Mercedes F015 Concept Car Drives Itself To CES Las Vegas ,,, ",1792,0,2,0
1793,[],[],Guess whose set this is😉 ,1793,0,0,0
1794,[],[],@EsperanzaGomez @LasMasPutasMex @Culos_Enormes @CamGirlzParty @LindasPutitas @CamGirlz1 @CamGirlErotica… ,1794,0,0,0
1795,[],[],CamilaNationBr: ,1795,0,0,0
1796,"['niall', 'slow hands']",['niall'],-J Niall performing Slow Hands at  today! ,1796,1,1,0
1797,"['justin', 'hold tight']",['justin'],Justin singing Hold Tight last 2 years ago at ,1797,1,1,0
1798,['miley'],[],Please upgrade my little sister and i to the pit so she can see her fave Miley!! ,1798,0,1,0
1799,['bon appetit'],[],"Yesssss 🙌🏽 @katyperry performing her new single ""Bon Appetit"" at @1027KIISFM ",1799,0,1,0
1800,[],[],i will die for her tummy RIGHT NOW ,1800,0,0,0
1801,[],[],😍 Get those dancing shoes on because @alessiasmusic and @zedd are coming up!… Guess who's in the building! ,1801,0,0,0
1802,[],[],@MileyCyrus is BACK and taking us back to her roots with  at ,1802,0,0,0
1803,['wango tango'],[],KIIS/Los Angeles Releases The Lineup For The Free Wango Tango ...  ⚡🌟 ,1803,0,1,0
1804,[],[],"😍 @backstreetboys Everybody, rock your body! ",1804,0,0,0
1805,['justin'],[],"i miss justin's performance back in 2015 :,( ",1805,0,1,0
1806,['zedd'],['zedd'],It's a beautiful night at  Zedd is on stage! ,1806,1,0,0
1807,"['instagram', 'niall']",['niall'],We'll be posting live on our Instagram Story (@901Music).… Niall takes the  stage at 7:15PM PST tonight. ,1807,1,1,0
1808,[],[],i fucking love this song ,1808,0,0,0
1809,['miley'],['miley'],| Miley &amp; @halsey backstage. ,1809,1,0,0
1810,['niam'],['niam'],Bless your timeline with Niam ,1810,1,0,0
1811,[],[],this is so good fuckk ,1811,0,0,0
1812,"['niall cantando', 'on the loose']",['niall'],Niall cantando On The Loose! ,1812,0,2,1
1813,['niall'],['niall'],OMG PLEASE PERFORM W NIALL PLEASE ,1813,1,0,0
1814,['liam'],['liam'],📸 | Liam at  tonight. ,1814,1,0,0
1815,[],[],🆓➡️ 🔥That moment when @kendra_benz clothes hit the floor!🔥 ,1815,0,0,0
1816,['camila cabello'],['camila cabello'],Camila Cabello on the  just now 🤘🏽 | @iHeartRadio ,1816,1,0,0
1817,[],[],@LiamPayne + @edsheeran = STRIP THAT DOWN ,1817,0,0,0
1818,[],[],"While we wait for the @backstreetboys  performance, check out these backstage photos! ",1818,0,0,0
1819,[],[],Okay  over now to watch whatever this  is so I can see the @backstreetboys!! ,1819,0,0,0
1820,[],[],SO good! @noahcyrus performed a brand NEW song titled  at . ,1820,0,0,0
1821,['camila'],['camila'],Camila durante a performance de Bad Things no ,1821,1,0,0
1822,['katy perry'],['katy perry'],Katy Perry Performing  at  @katyperry @1027KIISFM 💅🏻 ,1822,1,0,0
1823,['slow hands'],[],"Another video of ""Slow Hands"" tonight and the crowd singing along. ",1823,0,1,0
1824,['miley'],['miley'],Miley backstage at ,1824,1,0,0
1825,['payne'],[],"👀👀👀👀 Do you have a little surprise, Payne? I just noticed that @Zedd is in the  and @LiamPayne is also there ... ",1825,0,1,0
1826,"['miley', 'jolene', 'jolene']","['miley', 'jolene']",Miley was seen rehearsing Jolene earlier so we can confirm she will be singing Jolene- ,1826,3,0,0
1827,[],[],I'M SO HERE FOR THIS!! ,1827,0,0,0
1828,['snapchat'],['camila'],RT @CCabelloNews: Camila with @tanyarad on @1027KIISFM's Snapchat story ,1828,0,1,1
1829,[],[],THE INTRO ,1829,0,0,0
1830,[],[],"Wait, y'all stan this? ",1830,0,0,0
1831,[],[],Can't wait to see you perform later at Love you @HaileeSteinfeld!!! ,1831,0,0,0
1832,[],[],&lt;3 &lt;3 This is everything! ,1832,0,0,0
1833,[],[],in full force Gang's all here getting ready to broadcast these artist interviews for you! ,1833,0,0,0
1834,"['bsb', 'm5']",[],Is BSB's set going to be just as long as M5's? ,1834,0,2,0
1835,['camila'],['camila'],Camila no backstage do ,1835,1,0,0
1836,['niall'],['niall'],Niall no ,1836,1,0,0
1837,[],[],This girl is flawless ,1837,0,0,0
1838,['liam'],[],Liam! ,1838,0,1,0
1839,[],[],@NiallOfficial @1027KIISFM @iHeartRadio you do know I lost my voice there by screaming loud at  but damn it was good ,1839,0,0,0
1840,[],[],Wowwww adam woww @adamlevine I love youuu por siempreeeee ! ,1840,0,0,0
1841,"['leeds bradford airport', 'kate bush', 'woodley']","['kate bush', 'leeds bradford airport']",5: Leeds Bradford Airport 4: Kate Bush 3: 2: Woodley +9 1: Top 5: ,1841,2,1,0
1842,['adam levine'],[],"Adam Levine's New Girlfriend ,,, ",1842,0,1,0
1843,[],['queen ��'],Queen 👑 ,1843,0,0,1
1844,['zayn'],['zayn'],"The start of an amazing, record-breaking career! Another throwback to when Zayn did THAT at . ",1844,1,0,0
1845,[],['max'],Yeezy Yeezy what's good it's ya boi Max b ,1845,0,0,1
1846,"['liam', 'niall']","['liam', 'niall liam', 'niall niall liam niall liam niall liam niall liam niall liam niall liam']",LIAM AND NIALL LIAM AND NIALL @LIAMPAYNE @NIALLOFFICIAL NIALL  NIALL LIAM NIALL LIAM NIALL LIAM NIALL LIAM NIALL LIAM NIALL LIAM ,1846,1,1,2
1847,"['liam', 'zedd']","['liam', 'zedd']",IF LIAM PERFORMS WITH ZEDD ,1847,2,0,0
1848,[],[],The beautiful @noahcyrus 😍can't wait to see you on our  main stage! ,1848,0,0,0
1849,"['camila', 'snapchat']",['camila'],Camila no Snapchat da @1027KIISFM ,1849,1,1,0
1850,['niall'],['niall'],Niall is so fast deleting his tweet. ,1850,1,0,0
1851,[],[],"Funny Puppy Drinking Milk and Falling in It ,,, ",1851,0,0,0
1852,[],[],fuck me i love her ,1852,0,0,0
1853,['camila'],['camila'],Camila on 's yellow carpet. ,1853,1,0,0
1854,[],[],"Live from 102.7 KIIS FM's , watch @halsey perform ""Eyes Closed"" off her sophomore album ""hopeless founta… ",1854,0,0,0
1855,['camila'],['camila'],Camila on stage at ,1855,1,0,0
1856,[],[],"Lovely Owls ,,, ",1856,0,0,0
1857,"['niall', 'cantando', 'this town']",['niall'],Niall hoy cantando 'This Town' en ,1857,1,2,0
1858,[],[],Power tweet guys! ,1858,0,0,0
1859,['miley'],['miley'],Cute Miley fanpics backstage! ,1859,1,0,0
1860,['niall'],['niall 【fr:37.7tm】'],", Niall  【FR:37.7t/m】 ",1860,0,1,1
1861,[],[],legend only ,1861,0,0,0
1862,['niall'],['niall'],@WorldNotes1D Did Niall have the best performance of the night? ,1862,1,0,0
1863,[],[],Who's ready to see @imjmichaels tonight? She's here she's here! ,1863,0,0,0
1864,[],[],LOOK AT HER ☹️ ,1864,0,0,0
1865,['raccoon gosha'],[],"Crazy Raccoon Gosha Loves Washing Everything ,,, ",1865,0,1,0
1866,[],[],@TeamMileyyLA Best performance? ,1866,0,0,0
1867,[],[],New music from @NiallOfficial 🙌🏼🙌🏼🙌🏼 ,1867,0,0,0
1868,[],[],WHAAAAAAATTTTTTT ,1868,0,0,0
1869,[],[],Loving @noahcyrus at  with her new single ,1869,0,0,0
1870,[],[],on stage now ,1870,0,0,0
1871,"['niall', 'san diego']",['niall'],"(13/05) @NiallOfficial @LiamPayne Niall no backstage do , em San Diego. ",1871,1,1,0
1872,[],[],"What can I say, it's complicated  @Camila_Cabello @machinegunkelly ",1872,0,0,0
1873,[],[],BABY YOU'RE A FIREWORK 🎇🎇🎇 @katyperry  Watch live: ,1873,0,0,0
1874,[],[],this ain't right he's supposed to be up there with him ,1874,0,0,0
1875,['camila'],['camila'],Camila on the  yellow carpet. ,1875,1,0,0
1876,['katy'],['katy'],😷 my ears Katy baby no what is you doing???!! ,1876,1,0,0
1877,[],[],@aaroncarter is back 🙌🏼🙌🏼🙌🏼 ,1877,0,0,0
